Serial No.,DeviceId,StartTime,spd_bn,po_name,po_code,Newpo_code,spd_res_name,spd_vill,vill_tow_name,near_place,po_pri_nu,spd_emu_info,enu_name,enu_code,sup_name,sup_code,gp_inf_cons,disp_info_cons,now_name,gp_start,gp_part1,q1,q2,q3,q4,q5,q6,gp_part1_ter1,gp_part2,q9,q9_1,q10,q11,q12,q12_1,q12_oth,q13,gp_part3,q14,q15,q16,spd_q17,q17,q17_1,q17_2,q17_3,q17_4,q17_5,q17_6,q17_7,q17_8,gp_part4,q18,q18_oth,q19,q20,q20_oth,q21,q22,q23,spd_24,q24,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q25,q26,gp_part5,q27,q28,q29,q30,q31,q32,gp_part6,q33,q34,q35,q36,gp_part7,q37,q37_oth,q38,q39,q39_oth,q40,q40_oth,q41,q42,q43,gp_part8,p8,flr1,flr2,flr3,gp_part9,q44,q44_oth,q45,q45_oth,q46,q46_oth,q47,spd_q48,q48_disp,q48_1,q48_2,q48_3,q48_4,q48_5,q48_6,q48_7,q48_8,q48_9,q48_10,q48_11,q48_12,q48_13,q48_14,q48_15,q48_16,q48_17,q48_18,q48_19,q48_20,q48_21,q48_22,q48_23,q48_24,gp_part9a,part9a_q51,part9a_q52,part9a_q53,gp_part9b,part9b_q51,part9b_q52,part9b_q53,resut,KEY,PARENT_KEY,KEY-data
13,8.69E+14,2019-04-18T12:09:25.284+05:30,,Kathor talab,101,101,,,Kathor talav,10+2high school,1,,Ghanshyam Tiwari,3,Chandan Kumar!,2,,,1,,,1,1,1,1,1,1,,,21,21,1,1,59,59,,12,,3,2,2,,,3,3,3,99,3,99,3,99,,3,,1,20,,3,1,1,,,1,1,98,98,98,1,2,1,,2,1,5,2,2,98,,98,98,98,98,,1,,1,1,,1,,3,1,1,,1,,,,,2,,999,,1,,3,,,1,1,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,,1,98,98,,,,,1,data[13],,
14,8.69E+14,2019-04-18T13:08:18.808+05:30,,Kathor talab,101,101,,,Kathora talab,Masjid,2,,Ghanshyam Tiwari,3,Chandan Kumar,2,,,1,,,1,1,1,1,1,1,,,26,26,1,1,59,59,,12,,3,1,1,,,3,3,3,3,3,1,3,1,,3,,1,9,,1,2,3,,,1,1,1,1,1,1,1,1,,2,2,5,2,2,3,,98,98,98,98,,1,,1,1,,1,,3,1,1,,2,,,,,2,,999,,1,,3,,,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,,,,,,98,98,98,1,data[14],,
15,8.69E+14,2019-04-18T13:29:28.149+05:30,,High school kashmi,101,101,,,Kathora talab,Marvadi school,3,,Ghanshyam Tiwari,3,Chandan Kumar,2,,,1,,,1,2,1,1,1,1,,,48,48,1,2,9,9,,2,,1,2,98,,,3,3,3,3,3,99,3,99,,4,,1,9,,1,1,1,,,1,1,1,98,2,1,1,2,,2,1,5,2,2,3,,98,98,98,98,,2,,1,2,,2,,2,1,1,,1,,,,,1,,24,,2,,3,,,1,2,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,,2,98,98,,,,,1,data[15],,
16,8.69E+14,2019-04-18T14:57:11.714+05:30,,Kasmi school,101,101,,,Kathora talab,Marvadi school,4,,Ghanshyam Tiwari,3,Chandan Kumar,2,,,1,,,1,1,1,1,1,1,,,18,18,1,1,59,59,,9,,3,1,2,,,3,3,3,3,3,1,3,1,,4,,1,7,,1,1,2,,,1,98,1,1,2,1,1,1,,2,1,5,2,2,98,,99,98,98,98,,2,,1,2,,2,,1,1,2,,2,,,,,2,,999,,1,,3,,,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,,,,,,98,98,98,1,data[16],,
17,8.69E+14,2019-04-18T15:43:17.485+05:30,,High school kashmi,101,101,,,Durga wadi,St Paul school,5,,Ghanshyam Tiwari,3,Chandan Kumar,2,,,1,,,1,1,1,1,1,1,,,18,18,1,1,59,59,,10,,3,1,1,,,3,3,3,3,1,1,3,1,,2,,1,3,,1,1,2,,,1,1,2,1,2,1,3,1,,2,1,5,1,2,1,,98,98,98,99,,3,,1,2,,2,,1,1,1,,3,,,,,2,,999,,1,,3,,,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,,,,,,,,,1,data[17],,
18,8.69E+14,2019-04-18T16:49:04.283+05:30,,Kathora talab,101,101,,,Kathora talab,Sankat Mochan mandir,6,,Ghanshyam Tiwari,3,Chandan Kumar,2,,,1,,,1,1,1,1,1,1,,,25,25,1,2,59,59,,13,,4,1,2,,,3,2,3,3,3,2,3,2,,1,,2,8 9,,2,3,2,,,2,2,2,1,1,1,2,2,,2,1,5,2,2,3,,2,2,1,2,,2,,2,2,,2,,2,1,1,,2,,,,,2,,999,,1,,3,,,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,,,,,,98,98,98,1,data[18],,
19,8.69E+14,2019-04-18T10:09:55.242+05:30,,Mahabir entar bidiyale,111,111,,,Kabirbag,Santkabir akadmi,1,,Pankaj kumar,6,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,48,48,1,2,11,11,,12,,6,1,2,,,3,3,3,3,3,1,3,1,,2 3,,2,8 9,,1,2,1,,,3,2,3,1,2,2,3,3,,2,1,5,2,2,98,,1,98,1,98,,1,,1,1,,1,,4,1,1,,1,,,,,1,,24,,4,,3,,,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,2,2,1,1,2,,2,2,1,,,,,1,data[19],,
20,8.69E+14,2019-04-18T13:29:55.707+05:30,,Mahabir intar bidayale,111,111,,,Kabirbad,S.t.aekadmi,2,,Pankaj kumar,6,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,44,44,1,2,9,9,,12,,5,1,2,,,1,1,2,2,2,1,3,1,,2 7,,1,8 9,,1,2,1,,,1,3,3,1,2,2,3,4,,2,1,5,2,98,98,,1,2,1,1,,1,,1,1,,1,,3,1,1,,2,,,,,1,,24,,3,,3,,,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,,,,,,98,1,1,1,data[20],,
21,8.69E+14,2019-04-18T14:11:00.096+05:30,,Mhabir intar bidayale,111,111,,,Kabirbag,Shitaram shahu mandir,3,,Pankaj kumar,6,Chandan kumar,2,,,1,,,1,1,2,1,1,3,,,29,29,2,2,63,63,,13,,3,1,2,,,2,1,2,2,2,1,2,1,,1,,2,5,,2,2,1,,,2,3,2,3,3,2,2,4,,2,3,5,2,98,98,,98,2,98,98,,1,,2,1,,1,,4,1,1,,3,,,,,1,,999,,1,,2,,,1,2,2,2,1,2,2,1,2,1,2,1,1,2,1,2,1,1,2,2,2,2,2,2,,,,,,,,,1,data[21],,
22,8.69E+14,2019-04-18T15:47:57.647+05:30,,Mahabir iantar mahavidalaya sawarajpur road kamra 3,111,111,,,Kabirbag,Shitaram shahu shiv mandir,4,,Pankaj kumar,6,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,20,20,1,1,59,59,,11,,4,1,1,,,3,3,3,3,3,3,3,2,,3,,3,20,,98,2,1,,,2,2,2,2,2,2,3,4,,2,1,5,2,2,98,,1,2,1,98,,7,,,7,,1,,3,2,2,,1,,,,,1,,17,,4,,3,,,1,2,2,1,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,,98,2,1,,,,,1,data[22],,
23,8.69E+14,2019-04-18T10:17:33.733+05:30,,Garment much vidaly ramna,105,105,,,Ramana,Near school,1,,Rajesh Kumar 1,11,Robins,1,,,1,,,1,1,1,1,1,1,,,35,35,1,2,41,41,,12,,6,1,2,,,2,2,3,3,3,1,3,1,,2,,2,8 13,,2,2,1,,,1,1,2,1,1,3,2,2,,2,1,5,2,2,3,,1,1,1,2,,1,,1,1,,1,,3,1,1,,1,,,,,2,,999,,4,,3,,,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,2,,1,2,1,,,,,1,data[23],,
24,8.69E+14,2019-04-18T13:55:05.615+05:30,,Government school,105,105,,,Ramna road,School,2,,Rajesh Kumar 1,11,Robins kumar,1,,,1,,,1,1,2,1,1,2,,,19,19,1,1,59,59,,8,,3,1,1,,,2,2,3,3,3,1,3,2,,1,,2,8,,2,1,1,,,2,2,2,1,2,3,2,3,,2,1,5,2,98,3,,1,1,1,2,,1,,1,1,,1,,4,2,2,,2,,,,,1,,999,,4,,1,,,1,2,2,2,1,2,1,1,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,,,,,,1,98,2,1,data[24],,
25,8.69E+14,2019-04-18T14:53:15.718+05:30,,Government school,105,105,,,Ramana,Near Falgu river,105,,Rajesh Kumar 1,11,Robins Kumar,1,,,1,,,1,1,1,1,1,1,,,18,18,1,1,59,59,,7,,4,2,2,,,2,2,3,2,2,1,3,2,,21,,98,11,,3,3,2,,,1,2,2,1,2,2,2,2,,2,3,98,1,98,98,,98,2,2,2,,1,,2,1,,1,,4,2,2,,3,,,,,1,,30,,2,,3,,,1,2,2,2,1,2,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,,,,,,,,,1,data[25],,
26,8.69E+14,2019-04-18T16:15:08.180+05:30,,Government girls school,105,105,,,Ramana,Near river,4,,Rajesh Kumar 1,11,Robins,1,,,1,,,1,1,1,1,1,1,,,24,24,1,1,52,52,,7,,3,1,2,,,2,2,2,1,2,1,2,1,,2,,2,1,,2,1,1,,,1,98,98,1,3,1,7,4,,2,1,98,98,3,3,,2,2,2,2,,1,,3,1,,1,,3,1,1,,1,,,,,1,,999,,2,,3,,,1,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2,1,2,2,2,2,1,2,2,,1,2,1,,,,,1,data[26],,
27,8.69E+14,2019-04-18T16:39:56.328+05:30,,Government girl school,105,105,,,Ramana,Near river,5,,Rajesh Kumar 1,11,Robins kumar,1,,,1,,,1,1,1,1,1,1,,,21,21,1,2,60,60,,4,,3,1,2,,,2,1,3,3,3,1,3,2,,2,,1,9,,1,2,1,,,2,2,3,1,2,1,1,2,,2,1,5,2,2,4,,2,98,1,98,,1,,1,1,,1,,4,2,2,,2,,,,,1,,8,,4,,2,,,2,2,2,2,1,2,1,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,,,,,,1,2,2,1,data[27],,
28,8.69E+14,2019-04-18T17:33:02.091+05:30,,Govt girls school,105,105,,,Ramna,Near river,6,,Rajesh Kumar 1,11,Roblns Kumar,1,,,1,,,1,1,1,1,1,1,,,18,18,1,2,53,53,,3,,3,1,2,,,1,2,2,1,2,1,3,2,,3,,2,9,,1,1,1,,,2,2,3,2,2,1,2,2,,2,1,5,2,2,98,,2,98,1,2,,1,,1,1,,1,,3,2,2,,3,,,,,1,,32,,3,,3,,,1,2,2,2,1,2,1,1,2,1,2,1,1,2,1,2,1,2,2,2,1,1,2,2,,,,,,,,,1,data[28],,
29,8.69E+14,2019-04-18T15:41:59.311+05:30,,Government girls uhh vidiyala ramana,105,105,,,Ramana,Mamaji me gali,4,,Mukesh kumar,4,Rovins,1,,,1,,,1,1,1,1,1,1,,,19,19,1,1,59,59,,9,,5,1,1,,,3,3,3,3,3,3,3,1,,1,,2,9,,2,2,1,,,1,1,3,1,3,1,7,4,,2,1,1,2,98,98,,2,2,1,2,,1,,3,3,,98,,3,2,2,,1,,,,,1,,999,,4,,3,,,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,1,2,,1,2,1,,,,,1,data[29],,
30,8.69E+14,2019-04-18T16:30:46.922+05:30,,Government girls uhh vidiyala ramana,105,105,,,Ramana,Pratmikschool,5,,Mukesh kumar,4,Robins,1,,,1,,,1,1,1,1,1,1,,,23,23,1,1,60,60,,5,,4,2,2,,,1,1,1,1,1,1,3,1,,21,,98,9,,1,1,1,,,1,3,3,1,98,1,7,2,,2,1,5,2,2,98,,2,98,2,98,,1,,1,4,,1,,3,1,1,,2,,,,,1,,999,,2,,3,,,1,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,,,,,,1,2,1,1,data[30],,
31,8.69E+14,2019-04-18T17:21:55.011+05:30,,Government girls uhh vidiyala ramana,105,105,,,Mahadevghat,Jain mandir,6,,Mukesh kumar,4,Robins,1,,,1,,,1,1,1,1,1,1,,,32,32,1,2,36,36,,9,,4,2,2,,,1,1,1,1,2,1,3,1,,2,,2,1,,2,1,1,,,1,3,3,1,98,1,2,3,,2,1,5,2,98,98,,2,98,2,98,,1,,3,4,,1,,3,1,1,,3,,,,,1,,36,,4,,3,,,1,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,,,,,,,,,1,data[31],,
32,8.69E+14,2019-04-18T12:23:01.849+05:30,,Government girls uhh vidiyala ramana,105,105,,,Ramana,Near g g h school,1,,Mukesh kumar,4,Robins kumar,1,,,1,,,1,1,1,1,1,1,,,40,40,2,2,27,27,,12,,4,2,2,,,3,1,2,2,3,1,3,1,,3,,2,8 9,,2,2,1,,,1,1,2,1,98,1,7,2,,2,2,5,2,3,3,,2,2,1,2,,1,,2,1,,1,,3,1,1,,1,,,,,1,,26,,4,,3,,,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2,1,2,2,2,2,1,1,2,,1,2,1,,,,,1,data[32],,
33,8.69E+14,2019-04-18T13:46:37.041+05:30,,Government girlsuhhvidyalaramana,105,105,,,Ramana,Near girls high school,2,,Mukesh kumar,4,Robins kumar,1,,,1,,,1,1,1,1,1,1,,,18,18,1,1,59,59,,9,,4,1,2,,,3,2,2,3,3,1,3,1,,2,,3,9,,2,1,1,,,2,98,2,2,3,1,7,4,,2,1,5,2,2,3,,98,2,98,2,,3,,1,3,,1,,3,2,2,,2,,,,,1,,8,,4,,3,,,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,2,1,2,1,2,2,,,,,,2,2,1,1,data[33],,
34,8.69E+14,2019-04-18T14:53:32.592+05:30,,Government girls uhh vidiyala ramana,105,105,,,Ramana,Mamaji me gali,3,,Mukesh kumar,4,Robins kumar,1,,,1,,,1,1,1,1,1,1,,,34,34,1,2,19,19,,7,,6,2,2,,,1,1,1,1,1,1,2,1,,1,,1,9,,1,2,1,,,1,98,98,1,3,1,7,98,,2,1,5,2,2,4,,2,2,1,2,,1,,1,4,,1,,4,1,1,,3,,,,,1,,1,,1,,3,,,1,2,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,1,data[34],,
36,8.69E+14,2019-04-18T12:34:31.909+05:30,,High school kashmi,101,101,,,Kathokar talav,Sarkari coprattive,1,,Vishal kumar,10,Chandan Kumar,2,,,1,,,1,2,1,1,1,2,,,30,30,2,2,63,63,,7,,3,2,2,,,2,3,3,3,2,1,3,1,,1,,1,9,,2,2,1,,,1,2,1,2,2,1,4,2,,2,1,98,98,2,98,,98,98,1,98,,2,,1,2,,2,,2,1,1,,1,,,,,2,,999,,1,,2,,,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,,98,1,1,,,,,1,data[36],,
37,8.69E+14,2019-04-18T13:35:09.909+05:30,,High school kashmi,101,101,,,Kathokar talav,Hakea manjil,2,,Vishal Kumar,10,Chandan Kumar,2,,,1,,,1,1,1,1,1,1,,,36,36,1,2,19,19,,9,,3,2,2,,,3,3,3,3,2,1,3,1,,1,,1,9,,1,2,1,,,1,1,1,2,1,1,1,1,,2,1,5,2,2,3,,98,98,98,98,,1,,1,1,,1,,4,1,1,,1,,,,,1,,26,,2,,3,,,1,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,1,1,2,2,2,1,2,2,,98,1,1,,,,,1,data[37],,
38,8.69E+14,2019-04-18T14:21:41.501+05:30,,High school kashmi,101,101,,,Kathokar talav,Marvadi High school,3,,Vishal Kumar,10,Chandan Kumar,2,,,1,,,1,1,1,1,1,1,,,40,40,1,2,60,60,,5,,3,1,1,,,3,3,3,3,3,1,3,1,,1,,1,9,,1,1,2,,,1,1,1,1,1,1,2,1,,2,1,5,2,2,3,,98,98,98,98,,1,,1,1,,1,,4,1,1,,2,,,,,2,,999,,1,,3,,,1,2,2,2,1,2,2,1,2,1,1,1,2,1,1,2,1,2,2,2,2,1,2,1,,,,,,98,98,98,1,data[38],,
39,8.69E+14,2019-04-18T15:27:56.817+05:30,,High school kashmi,101,101,,,Durga wadi ( kathokar talav),Marvadi school,4,,Vishal Kumar,10,Chandan Kumar,2,,,1,,,1,1,1,1,1,1,,,20,20,1,1,59,59,,12,,3,1,2,,,3,3,3,3,3,1,3,1,,4,,1,7,,1,1,2,,,1,1,1,1,2,1,1,1,,2,1,5,2,2,3,,98,98,98,98,,1,,1,1,,1,,4,1,2,,3,,,,,2,,999,,1,,3,,,1,1,2,2,1,2,2,2,2,1,2,1,2,2,1,2,1,1,2,2,2,1,2,2,,,,,,,,,1,data[39],,
40,8.69E+14,2019-04-18T16:12:17.500+05:30,,High school kashmi,101,101,,,Hakim enait cloni (kathora talav,St Paul school,5,,Vishal Kumar,10,Chandan Kumar ,2,,,1,,,1,1,1,1,1,1,,,19,19,1,1,59,59,,12,,4,1,1,,,3,3,3,3,3,1,3,1,,4,,1,5,,1,1,2,,,1,1,2,2,2,2,1,2,,2,1,5,2,2,1,,98,98,1,1,,2,,1,2,,2,,1,1,2,,2,,,,,2,,999,,1,,3,,,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,,,,,,98,98,98,1,data[40],,
41,8.69E+14,2019-04-18T17:09:01.351+05:30,,Meadil school kashmi,100,100,,,Inyat cloni,Mahavir school,6,,Vishal Kumar,10,Chandan Kumar,2,,,1,,,1,1,1,1,1,1,,,19,19,1,1,59,59,,9,,3,98,98,,,3,3,3,3,3,1,3,1,,4,,1,9,,1,2,2,,,1,1,1,1,1,1,1,1,,2,1,5,2,2,1,,98,98,1,98,,2,,1,2,,2,,1,2,2,,3,,,,,2,,999,,2,,3,,,1,2,2,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,,,,,,,,,1,data[41],,
43,8.69E+14,2019-04-19T10:01:07.609+05:30,,Primary school vijaybigh devisthan Gaya right hand,8,8,,,Barkidelha dularganj,Gayan Ganga school,1,,Rohit Kumar shastri,8,Chandan,2,,,1,,,1,1,1,2,1,1,,,18,18,1,1,38,38,,6,,2,2,2,,,1,1,1,1,3,1,2,1,,21,,99,20,,98,2,1,,,1,3,3,3,3,1,2,2,,2,3,5,2,98,98,,98,98,98,98,,1,,2,1,,1,,3,2,3,,1,,,,,1,,27,,2,,3,,,1,2,2,2,1,2,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,,2,2,1,,,,,1,data[43],,
44,8.69E+14,2019-04-19T10:23:47.817+05:30,,P.m.s Vijay bigha,12,8,,,Badki delha,Gayan ganga high school,8,,Sumit kumar,12,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,30,30,1,1,59,59,,13,,5,2,2,,,3,3,3,3,3,1,3,2,,3,,2,5,,2,2,1,,,1,3,2,1,3,1,2,4,,2,1,5,2,2,98,,98,98,1,98,,7,,,99,,1,,3,2,2,,1,,,,,1,,27,,2,,3,,,1,1,2,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,,99,2,1,,,,,1,data[44],,
45,8.69E+14,2019-04-19T10:33:37.632+05:30,,Prathmik vidiyala Vijay bigha,9,9,,,Janina pahlwan gali,Ram Mandir ke bagl me,1,,Mukesh kumar,4,Robins kumar,1,,,1,,,1,1,1,1,1,1,,,20,20,1,1,59,59,,12,,3,2,1,,,2,3,3,3,3,1,3,1,,1 2,,2,5,,1,2,1,,,2,2,1,2,2,1,2,2,,2,1,5,2,2,3,,1,2,1,2,,2,,2,3,,2,,1,1,1,,1,,,,,1,,8,,4,,3,,,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,2,1,2,1,2,2,,1,2,1,,,,,1,data[45],,
